Age,Gender,OrderedItem,When,Order Type,,
15,0,Chips,Noon,Eat In,,
12,0,Chips,Noon,Eat In,,
15,0,Chips,Noon,Eat In,,
13,1,Chips,Noon,Eat In,,
16,0,Chips,Noon,Eat In,,
11,0,Chips,Noon,Eat In,,
18,1,Chips,Noon,Eat In,,
18,0,Chips,Noon,Eat In,,
21,1,Chips,Noon,Eat In,,
38,1,Chips,Noon,Eat In,,
18,0,Chips,Noon,Eat In,,
20,0,Chips,Noon,Eat In,,
25,0,Chips,Noon,Eat In,,
22,1,Chips,Noon,Eat In,,
18,0,Chips,Noon,Eat In,,
21,0,Chips,Noon,Eat In,,
18,0,Chips,Noon,Eat In,,
20,1,Chips,Noon,Take Away,,
20,0,Chips,Noon,Take Away,,
17,1,Chips,Noon,Take Away,,
15,0,Chips,Noon,Take Away,,
14,1,Chips,Noon,Take Away,,
15,1,Chips,Noon,Take Away,,
16,1,Chips,Noon,Take Away,,
11,1,Chips,Noon,Take Away,,
11,0,Chips,Noon,Take Away,,
38,0,Chips,Noon,Take Away,,
40,0,Chips,Noon,Take Away,,
23,1,Chips,Noon,Take Away,,
22,0,Chips,Noon,Take Away,,
27,0,Chips,Noon,Take Away,,
20,0,Chips,Noon,Take Away,,
17,1,Chips,Noon,Take Away,,
13,0,Chips,Noon,Take Away,,
21,0,Chips,Noon,Take Away,,
18,0,Chips,Noon,Take Away,,
15,1,Chips,Noon,Take Away,,
15,0,Chips,Noon,Take Away,,
14,0,Chips,Noon,Take Away,,
12,1,Chips,Noon,Take Away,,
18,1,Chips,Noon,Take Away,,
19,1,Chips,Noon,Take Away,,
13,0,Chips,Noon,Take Away,,
13,0,Chips,Noon,Take Away,,
19,1,Chips,Noon,Take Away,,
22,0,Chips,Noon,Take Away,,
22,1,Chips,Noon,Take Away,,
15,0,Chips,Noon,Take Away,,
15,0,Chips,Noon,Take Away,,
12,1,Chips,Noon,Take Away,,
17,1,Chips,Noon,Take Away,,
18,1,Chips,Noon,Take Away,,
14,1,Chips,Noon,Take Away,,
12,1,Chips,Noon,Take Away,,
12,0,Chips,Noon,Take Away,,
17,0,Chips,Noon,Take Away,,
15,0,Chips,Noon,Take Away,,
19,0,Chips,Noon,Take Away,,
11,1,Chips,Noon,Take Away,,
10,1,Chips,Noon,Take Away,,
11,0,Chips,Noon,Take Away,,
20,1,Chips,Noon,Take Away,,
12,1,Chips,Noon,Take Away,,
10,1,Chips,Noon,Take Away,,
22,1,Chips,Noon,Take Away,,
34,0,Chips,Noon,Take Away,,
21,0,Chips,Noon,Take Away,,
24,0,Chips,Noon,Take Away,,
22,0,Chips,Noon,Take Away,,
25,1,Chips,Noon,Take Away,,
14,1,Chips,Noon,Take Away,,
21,0,Chips,Noon,Take Away,,
17,0,Chips,Noon,Take Away,,
19,1,Chips,Noon,Take Away,,
12,0,Chips,Noon,Take Away,,
17,1,Chips,Noon,Take Away,,
19,0,Chips,Noon,Take Away,,
16,0,Chips,Noon,Take Away,,
35,0,Chips,Noon,Take Away,,
29,0,Chips,Noon,Take Away,,
18,1,Chips,Noon,Take Away,,
21,0,Chips,Noon,Take Away,,
21,1,Chips,Noon,Take Away,,
19,0,Chips,Noon,Take Away,,
23,1,Chips,Noon,Take Away,,
20,1,Chips,Noon,Take Away,,
19,0,Chips,Noon,Take Away,,
16,1,Chips,Noon,Take Away,,
12,0,Chips,Noon,Take Away,,
18,1,Chips,Noon,Take Away,,
21,0,Chips,Noon,Take Away,,
16,1,Chips,Noon,Take Away,,
20,0,Chips,Noon,Take Away,,
10,1,Chips,Noon,Take Away,,
9,1,Chips,Noon,Take Away,,
15,1,Chips,Noon,Take Away,,
20,0,Chips,Noon,Take Away,,
19,0,Chips,Noon,Take Away,,
16,0,Chips,Noon,Take Away,,
17,1,Chips,Noon,Take Away,,
11,0,Chips,Noon,Take Away,,
11,0,Chips,Noon,Take Away,,
13,1,Chips,Noon,Take Away,,
12,1,Chips,Noon,Take Away,,
11,1,Chips,Noon,Take Away,,
19,0,Chips,Noon,Take Away,,
13,0,Chips,Noon,Take Away,,
18,1,Chips,Noon,Take Away,,
16,0,Chips,Noon,Take Away,,
18,1,Chips,Noon,Take Away,,
19,0,Chips,Noon,Take Away,,
25,0,Chips,Noon,Take Away,,
22,1,Chips,Noon,Take Away,,
18,1,Chips,Noon,Take Away,,
12,1,Chips,Noon,Take Away,,
11,1,Chips,Noon,Take Away,,
19,1,Chips,Noon,Take Away,,
11,0,Chips,Noon,Take Away,,
12,0,Chips,Noon,Take Away,,
11,0,Chips,Noon,Take Away,,
18,0,Chips,Noon,Take Away,,
19,1,Chips,Noon,Take Away,,
11,1,Chips,Noon,Take Away,,
8,0,Chips,Noon,Take Away,,
17,1,Chips,Noon,Take Away,,
17,1,Chips,Noon,Take Away,,
18,1,Chips,Noon,Take Away,,
16,1,Chips,Noon,Take Away,,
15,0,Chips,Noon,Take Away,,
15,0,Chips,Noon,Take Away,,
12,0,Chips,Noon,Take Away,,
11,0,Chips,Noon,Take Away,,
16,1,Chips,Noon,Take Away,,
10,1,Chips,Noon,Take Away,,
16,1,Chips,Noon,Take Away,,
11,0,Chips,Noon,Take Away,,
17,1,Chips,Noon,Take Away,,
10,1,Chips,Noon,Take Away,,
9,1,Chips,Noon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
11,1,Chips,Afternoon,Take Away,,
8,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
10,1,Chips,Afternoon,Take Away,,
6,1,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
23,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
27,1,Chips,Afternoon,Take Away,,
23,1,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
25,1,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
17,0,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
9,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
11,0,Chips,Afternoon,Take Away,,
24,1,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
24,1,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
26,0,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
33,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
23,1,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
26,1,Chips,Afternoon,Take Away,,
26,1,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
17,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
29,0,Chips,Afternoon,Take Away,,
27,0,Chips,Afternoon,Take Away,,
23,1,Chips,Afternoon,Take Away,,
11,1,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
10,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
17,0,Chips,Afternoon,Take Away,,
27,1,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
28,1,Chips,Afternoon,Take Away,,
27,1,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
29,0,Chips,Afternoon,Take Away,,
31,1,Chips,Afternoon,Take Away,,
11,0,Chips,Afternoon,Take Away,,
11,1,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
10,1,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
28,0,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
25,1,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
28,1,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
24,1,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
25,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
23,1,Chips,Afternoon,Take Away,,
28,1,Chips,Afternoon,Take Away,,
27,0,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
35,0,Chips,Afternoon,Take Away,,
23,0,Chips,Afternoon,Take Away,,
26,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
24,1,Chips,Afternoon,Take Away,,
24,1,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
23,1,Chips,Afternoon,Take Away,,
25,1,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
23,0,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
31,0,Chips,Afternoon,Take Away,,
29,1,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
29,1,Chips,Afternoon,Take Away,,
22,1,Chips,Afternoon,Take Away,,
35,1,Chips,Afternoon,Take Away,,
35,1,Chips,Afternoon,Take Away,,
8,0,Chips,Afternoon,Take Away,,
8,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
11,1,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
22,1,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
23,1,Chips,Afternoon,Take Away,,
28,0,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
25,1,Chips,Afternoon,Take Away,,
27,1,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
26,0,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
31,0,Chips,Afternoon,Take Away,,
9,1,Chips,Afternoon,Take Away,,
8,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
11,1,Chips,Afternoon,Take Away,,
8,1,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
7,1,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
17,0,Chips,Afternoon,Take Away,,
17,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
17,0,Chips,Afternoon,Take Away,,
17,0,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
22,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
24,1,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
10,0,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
8,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
11,0,Chips,Afternoon,Take Away,,
8,0,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
27,0,Chips,Afternoon,Take Away,,
9,0,Chips,Afternoon,Take Away,,
10,0,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
23,0,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
25,1,Chips,Afternoon,Take Away,,
32,0,Chips,Afternoon,Take Away,,
28,1,Chips,Afternoon,Take Away,,
10,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
7,1,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
31,0,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
33,0,Chips,Afternoon,Take Away,,
7,1,Chips,Afternoon,Take Away,,
6,1,Chips,Afternoon,Take Away,,
10,0,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
10,0,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
23,0,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
23,1,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
26,1,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
20,1,Chips,Afternoon,Take Away,,
23,1,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
28,0,Chips,Afternoon,Take Away,,
25,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
11,0,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
21,0,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
23,1,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
24,1,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
22,0,Chips,Afternoon,Take Away,,
25,0,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
7,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
10,1,Chips,Afternoon,Take Away,,
11,1,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
11,0,Chips,Afternoon,Take Away,,
10,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
10,1,Chips,Afternoon,Take Away,,
5,1,Chips,Afternoon,Take Away,,
11,0,Chips,Afternoon,Take Away,,
9,1,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
11,1,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
19,1,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
7,1,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
11,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
13,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
17,0,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
21,1,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
11,0,Chips,Afternoon,Take Away,,
12,0,Chips,Afternoon,Take Away,,
6,0,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
10,1,Chips,Afternoon,Take Away,,
12,1,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
9,1,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
18,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
15,0,Chips,Afternoon,Take Away,,
16,0,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
18,1,Chips,Afternoon,Take Away,,
14,0,Chips,Afternoon,Take Away,,
20,0,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
24,0,Chips,Afternoon,Take Away,,
9,0,Chips,Afternoon,Take Away,,
15,1,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
17,1,Chips,Afternoon,Take Away,,
11,1,Chips,Afternoon,Take Away,,
13,1,Chips,Afternoon,Take Away,,
14,1,Chips,Afternoon,Take Away,,
16,1,Chips,Afternoon,Take Away,,
19,0,Chips,Afternoon,Take Away,,
